id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
94976513,504000, €,41.3851304,2.1840924,,72,1,1,,1.0,1.0,,,,1.0,,,1.0,,,2,Barcelona,Ciutat Vella,1.222177833,,,duplex,,Barceloneta,0.373738974,8/28/2021 21:29,8/29/2021 15:19
94976561,990000, €,41.3991732,2.1385506,,144,3,3,,,1.0, sur,1.0,,1.0,,,1.0,gas,1967.0,2,Barcelona,Sarrià-Sant Gervasi,2.902397933,,1.0,piso,,Lesseps,1.229524972,8/28/2021 17:53,8/29/2021 11:47
94977046,532000, €,41.3854304,2.1813924,,66,2,2,1.0,1.0,1.0,,2.0,,1.0,,,1.0,,,2,Barcelona,Ciutat Vella,0.996020901,,,piso,,Jaume I,0.279368503,8/28/2021 20:59,8/29/2021 14:06
94977355,427500, €,41.3876304,2.1802924,,46,1,1,1.0,1.0,1.0,,3.0,,1.0,,,1.0,,,2,Barcelona,Ciutat Vella,0.866100582,,,piso,,Jaume I,0.416546782,8/28/2021 21:29,8/29/2021 15:19
94977487,550000, €,41.4032212,2.1410097,130.0,148,3,3,1.0,,1.0,,3.0,,1.0,,,1.0,gas,1964.0,2,Barcelona,Sant Gervasi - Galvany,2.953530621,,,piso,,Lesseps,0.832498031,8/29/2021 20:26,8/29/2021 20:26
94977606,450800, €,41.3847304,2.1807924,,46,1,1,1.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,,,2,Barcelona,Ciutat Vella,0.973414705,,,atico,,Jaume I,0.200294062,8/28/2021 21:29,8/29/2021 15:19
94977827,149000, €,41.3902097,2.1797645,,30,0,1,1.0,,1.0, norte,4.0,,0.0,,,,,,2,Barcelona,Sant Pere - Santa Caterina i la Ribera,0.8607454,,,estudio,,Arc de Triomf,0.263859885,9/3/2021 10:16,9/6/2021 8:44
94978085,156000, €,41.3723419,2.1749492,,68,3,1,1.0,,1.0,,1.0,,0.0,,,,,1967.0,2,Barcelona,El Poble Sec - Parc de Montjuïc,1.780701134,,,piso,,Drassanes,0.470488145,9/3/2021 11:33,9/8/2021 14:45
94978103,560000, €,41.3844304,2.1831924,,72,2,2,1.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,,,2,Barcelona,Ciutat Vella,1.172922476,,,atico,,Barceloneta,0.320304288,8/28/2021 20:59,8/29/2021 14:06
94978202,150000, €,41.414152,2.2077494,,59,3,1,,,1.0, sur,6.0,,1.0,,,,na,1968.0,2,Barcelona,Provençals del Poblenou,4.299797322,,,piso,,Besòs,0.667052575,9/3/2021 11:33,10/22/2021 15:52
94978819,249000, €,41.3707139,2.142957,69.0,76,3,1,,,1.0,,5.0,,1.0,,,,,1971.0,2,Barcelona,Hostafrancs,2.952692306,,,piso,,Hostafrancs,0.505723447,8/30/2021 12:17,8/30/2021 12:17
94979261,155000, €,41.4469671,2.1730104,64.0,71,4,1,,,0.0, norte,,,0.0,,,1.0,,1966.0,2,Barcelona,Nou Barris,6.575078738,,,piso,,Roquetes,0.269001118,10/3/2021 21:31,11/12/2021 15:47
94979636,153900, €,41.3787789,2.1923938,,38,1,1,1.0,,1.0,,1.0,,0.0,,,,na,1965.0,2,Barcelona,Ciutat Vella,2.132386842,,,piso,,Barceloneta,0.71890014,9/3/2021 10:47,9/8/2021 13:30
94980239,286400, €,41.4171794,2.1862953,,84,4,2,,,1.0,,3.0,,1.0,,,,,1978.0,2,Barcelona,Sant Martí,3.531701815,,,piso,,Navas,0.127382931,8/29/2021 10:02,8/29/2021 20:26
94980838,930000, €,41.3868556,2.1607048,,146,3,2,1.0,1.0,1.0,,1.0,,1.0,,,1.0,bomba,,2,Barcelona,Eixample,0.777741791,,,piso,,Universitat,0.313392112,8/28/2021 19:44,8/29/2021 12:56
94981089,3900000, €,41.3871432,2.1015414,517.0,700,5,7,1.0,1.0,, norte,,,,,1.0,1.0,na,2007.0,2,Barcelona,Pedralbes,5.706865988,,1.0,chalet_independiente,1.0,Zona Universitària,0.892972938,8/30/2021 10:35,9/1/2021 13:38
94981980,348000, €,41.4009499,2.175559,75.0,77,1,1,,,1.0, norte,,,1.0,,,1.0,,,2,Barcelona,La Sagrada Família,1.525896619,,,piso,,Monumental,0.329046801,8/30/2021 12:17,8/30/2021 12:17
94982164,319500, €,41.3794743,2.1627885,68.0,70,3,2,1.0,,1.0, sur,3.0,,1.0,,,,,,2,Barcelona,Sant Antoni,1.110199942,,,piso,,Sant Antoni,0.054932511,8/30/2021 19:21,9/1/2021 22:12
94982444,225000, €,41.3807033,2.1682611,58.0,60,3,1,,,1.0,,5.0,,0.0,,,1.0,,,2,Barcelona,El Raval,0.812371326,,,piso,,Liceu,0.406500302,8/30/2021 12:17,8/30/2021 12:17
94982870,139000, €,41.3791696,2.1667707,,35,1,1,,1.0,,,,,1.0,,,,,,2,Barcelona,El Raval,1.006020132,,,piso,,Sant Antoni,0.30367781,9/2/2021 18:12,10/4/2021 5:43
94983055,295000, €,41.3708219,2.1281612,87.0,100,4,2,,,,,,,1.0,,,,,,2,Barcelona,Sants - Badal,3.969302009,,,piso,,Santa Eulàlia,0.22629921,8/30/2021 12:17,8/30/2021 12:17
94983065,105000, €,41.370438,2.1339248,42.0,50,0,1,,,1.0, oeste,,,0.0,,,1.0,bomba,1900.0,2,Barcelona,La Bordeta,3.577401539,,,estudio,,Mercat Nou,0.287113279,8/30/2021 12:17,11/11/2021 16:28
94983377,420000, €,41.3882682,2.1574589,85.0,90,4,1,1.0,,, sur,,,1.0,,,1.0,gas,1910.0,2,Barcelona,L'Antiga Esquerra de l'Eixample,1.040685283,,,piso,,Hospital Clínic,0.533565582,8/30/2021 12:17,8/30/2021 12:17
94983574,410000, €,41.3724913,2.1764657,87.0,91,2,2,1.0,,,,,,1.0,,,1.0,na,2006.0,2,Barcelona,El Poble Sec - Parc de Montjuïc,1.798868231,,1.0,piso,,Drassanes,0.455015553,8/30/2021 12:17,8/30/2021 12:17
94983952,550000, €,41.3712971,2.1450046,124.0,148,3,2,1.0,1.0,,,,,1.0,,,,bomba,1979.0,2,Barcelona,Sants-Montjuïc,2.781115422,,,piso,,Hostafrancs,0.462737306,8/30/2021 12:17,8/30/2021 12:17
94984028,2100000, €,41.4040697,2.144584,,700,8,6,,1.0,,,,,,,,,gas,1980.0,2,Barcelona,Sarrià-Sant Gervasi,2.775595065,,,chalet,,Lesseps,0.520048577,8/30/2021 12:17,8/30/2021 12:17
